maritime_area,registration_number,imo_number,ship_name,callsign,mmsi,shiptype,length,tonnage,tonnage_unit,materiel_onboard,atis_code,radio_license_status,date_first_license,date_inactivity_license
SN,918296Y,,THOMAS NICOLAS II,FKDT,227143600,FISHING,23.4,111.26,UMS,VHF - VHF ASN - AIS - VHF PORTATIVE - BALISE COSPAS S.  EPIRB - BLU - SATELLITE MINI C - RADAR 9 PAN (BANDE X) - SART (REPONDEUR RAD) - RECEPTEUR NAVTEX - DIVERS,,ACTIVE,12/12/2000,
GV,898421V,,MARGODIG SNS 140,FGA4710,227009320,BULK,14.08,24.6,TX,VHF - VHF ASN - AIS - VHF PORTATIVE - BALISE COSPAS S.  EPIRB - RADAR 9 PAN (BANDE X),,INACTIVE,14/06/2001,02/01/2017
CM,924199P,,NOTRE DAME DE ROCAMADOUR NÃÂÃÂÃÂÃÂ°097,FGA4711,227009310,BULK,15.52,26.03,TX,VHF - VHF ASN - AIS - VHF PORTATIVE - RADAR 9 PAN (BANDE X),,ACTIVE,14/06/2001,
CC,898415N,,WAR RAOG III,FONQ,227144200,FISHING,16,49.87,UMS,VHF - VHF ASN - VHF PORTATIVE - BALISE COSPAS S.  EPIRB - BLU - RADAR 9 PAN (BANDE X) - SART (REPONDEUR RAD),,ACTIVE,20/06/2001,
BR,896361F,,ROBUSTE,FW9418,227006750,BULK,30,313,UMS,VHF - VHF ASN - AIS - BALISE COSPAS S.  EPIRB - RADAR 9 PAN (BANDE X),,ACTIVE,26/10/1999,
RI,924292R,9207390,MN COLIBRI,FNHO,228057000,BULK,115.5,9141,UMS,VHF - VHF ASN - AIS - VHF PORTATIVE - UHF - BALISE COSPAS S.  EPIRB - BLU ASN - SATELLITE STANDARD C - SATELLITE FLEET - LRIT - RADAR 9 PAN (BANDE X) - RADAR 3 PAN (BANDE S) - SART (REPONDEUR RAD) - DIVERS,,ACTIVE,23/12/1999,
GV,898404B,,DAMIEN FLORENT,FNSD,226216000,FISHING,21.5,91.46,UMS,VHF - VHF ASN - AIS - VHF PORTATIVE - BALISE COSPAS S.  EPIRB - BLU - SATELLITE STANDARD C - RADAR 9 PAN (BANDE X) - SART (REPONDEUR RAD) - DIVERS,,ACTIVE,09/03/2001,
BR,909434R,,MOLENEZ,FGA2273,227008170,BULK,36.42,326,UMS,VHF - VHF ASN - AIS - VHF PORTATIVE - BALISE COSPAS S.  EPIRB - RADAR 9 PAN (BANDE X),,ACTIVE,17/04/2000,
LS,918286M,,BLACK PEARL,FGFA,226150000,FISHING,23.3,128.98,UMS,VHF - VHF ASN - VHF PORTATIVE - BALISE COSPAS S.  EPIRB - BLU - SATELLITE STANDARD C - RADAR 9 PAN (BANDE X) - SART (REPONDEUR RAD) - RECEPTEUR NAVTEX - DIVERS,,ACTIVE,21/06/2000,
BR,909369V,,KADEGE,FOWB,226084000,FISHING,14.93,36.9,UMS,VHF - VHF ASN - AIS - VHF PORTATIVE - BALISE COSPAS S.  EPIRB - SATELLITE STANDARD C - SATELLITE MINI M - RADAR 9 PAN (BANDE X),,ACTIVE,30/07/1999,
