maritime_area ;registration_number ;imo_number ;ship_name                                             ;callsign ;mmsi      ;shiptype             ;length ;tonnage  ;tonnage_unit ;materiel_onboard                                                                                                                                                                                                                                                                        ;atis_code     ;radio_license_status ;date_first_license ;date_inactivity_license
BA            ;486716P             ;           ;KHOR AMBADO                                           ;FT6471   ;          ;PLEASURE CRAFT       ;8      ;7        ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;              ;INACTIVE             ;10/05/1984         ;31/12/1999
##            ;LI009554F           ;           ;VAHINE                                                ;FM4948   ;          ;RIVER SHIP           ;38     ;         ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;9 227 13 4948 ;ACTIVE               ;01/11/1977         ;
BX            ;567523Y             ;           ;FARE ENOUGH                                           ;FT7814   ;227642970 ;PLEASURE CRAFT       ;9      ;9        ;UMS          ;VHF ASN                                                                                                                                                                                                                                                                                 ;              ;ACTIVE               ;09/05/1984         ;
MA            ;269565F             ;           ;FUGITIF                                               ;FG6683   ;          ;FISHING              ;15     ;19       ;TX           ;VHF                                                                                                                                                                                                                                                                                     ;              ;INACTIVE             ;27/07/1989         ;04/08/1999
TL            ;350217W             ;           ;ARETHUSE                                              ;FO4523   ;          ;PLEASURE CRAFT       ;9      ;9        ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;              ;INACTIVE             ;01/12/1977         ;31/12/1999
LI            ;LI8702D             ;           ;ROBERT                                                ;FM2608   ;          ;RIVER SHIP           ;       ;350      ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;9 227 13 2608 ;INACTIVE             ;01/04/1977         ;30/12/1993
MT            ;153074K             ;           ;KD'O                                                  ;FT7812   ;          ;PLEASURE CRAFT       ;8      ;6        ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;              ;INACTIVE             ;07/05/1984         ;09/04/2004
PA            ;PA1206222M          ;           ;RHONE                                                 ;FM6558   ;          ;RIVER SHIP           ;       ;         ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;9 227 13 6558 ;INACTIVE             ;25/11/1987         ;30/01/1995
PA            ;PA13787F            ;           ;SWANSEA                                               ;FM4925   ;          ;RIVER SHIP           ;40     ;330      ;UMS          ;VHF PORTATIVE - RADAR 9 PAN (BANDE X)                                                                                                                                                                                                                                                   ;9 227 13 4925 ;INACTIVE             ;15/11/1977         ;05/10/1998
PP            ;342880W             ;           ;NOFRAP                                                ;FS2589   ;          ;PLEASURE CRAFT       ;       ;7        ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;              ;INACTIVE             ;26/07/1983         ;31/03/2004
PA            ;14221               ;           ;ST VICTOIRE                                           ;FM4944   ;          ;RIVER SHIP           ;38     ;380      ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;9 227 13 4944 ;INACTIVE             ;01/10/1978         ;30/01/2009
NI            ;346003R             ;           ;OMA                                                   ;FG4209   ;          ;PLEASURE CRAFT       ;6      ;3        ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;              ;INACTIVE             ;11/08/1989         ;16/10/2001
NI            ;303966Y             ;           ;PILOU 3                                               ;FO3829   ;          ;PLEASURE CRAFT       ;       ;17       ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;              ;INACTIVE             ;24/10/1977         ;15/12/1989
